name,price,price_per_gram,grams,type,producer,brand,potency,thc,cbd
Ghost Train Haze,27.50,7.86 ,3.5,Sativa Dominant,WeedMD,Color Cannabis,Very Strong,17.00 - 23.00%  ,0.00 - 1.00%  
Limelight,"10.50, 34.95, 65.00, 111.95","10.50 , $9.99 , $9.29 , $8.00 ","1, 3.5, 7, 14",Sativa Dominant,Organigram,Edison Cannabis Co,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Black Cherry Punch,"10.50, 34.95, 111.95","10.50 , $9.99 , $8.00 ","1, 3.5, 14",Indica Dominant,Organigram,Edison Cannabis Co,Very Strong,20.00 - 26.00%  ,0.00 - 0.15%  
C-LAND,"8.10, 26.95","8.10 , $7.70 ","1, 3.5",Sativa Dominant,Canopy Growth,Tweed,Very Strong,17.00 - 23.00%  ,0.00 - 0.50%  
Sage N Sour,"35.45, 114.95","10.13 , $8.21 ","3.5, 14",Sativa Dominant,The Green Organic Dutchman,MTL Cannabis,Very Strong,21.00 - 27.00%  ,0.00 - 1.00%  
Blue Dream,"9.00, 28.95","9.00 , $8.27 ","1, 3.5",Sativa Dominant,Aurora Cannabis,Aurora,Very Strong,19.00 - 24.00%  ,0.00 - 1.00%  
Buns N Roses,28.95,8.27 ,3.5,Indica Dominant,BZAM Cannabis,SuperFlower,Very Strong,22.00 - 28.00%  ,0.00 - 1.00%  
Pink Krush,28.95,8.27 ,3.5,Indica Dominant,Pure Sunfarms,Favours,Very Strong,21.00 - 25.00%  ,0.00 - 1.00%  
Strawberry Cake,28.95,8.27 ,3.5,Indica Dominant,AgMedica Bioscience,Vertical Cannabis,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Wedding Cake,28.95,8.27 ,3.5,Hybrid,Peace Naturals Project,Spinach,Very Strong,20.00 - 29.70%  ,0.00 - 1.00%  
Slurri Crasher,28.95,8.27 ,3.5,Indica Dominant,Tantalus Labs,Tantalus Labs,Very Strong,18.00 - 22.00%  ,0.00 - 1.00%  
Blue Dream,28.95,8.27 ,3.5,Sativa Dominant,Peace Naturals Project,Spinach,Very Strong,18.00 - 24.00%  ,0.00 - 2.00%  
Dancehall,28.95,8.27 ,3.5,Sativa Dominant,Peace Naturals Project,Spinach,Mild,4.00 - 10.00%  ,6.00 - 12.00%  
White Widow,28.95,8.27 ,3.5,Hybrid,Peace Naturals Project,Spinach,Very Strong,18.00 - 24.00%  ,0.00 - 1.00%  
Cold Creek Kush,"10.50, 28.95, 52.00","10.50 , $8.27 , $7.43 ","1, 3.5, 7",Indica Dominant,AgMedica Bioscience,Vertical,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
French Macaron,57.95,8.28 ,7,Indica Dominant,JC Green Cannabis,Jonny Chronic,Very Strong,21.00 - 27.00%  ,0.00 - 1.99%  
Amsterdam Sativa,29.95,8.56 ,3.5,Sativa Dominant,The Green Organic Dutchman,Highly Dutch Organic,Very Strong,19.00 - 26.00%  ,0.00 - 2.00%  
Chocolate Mint OG,29.95,8.56 ,3.5,Indica Dominant,AB Laboratories,Steel City Green,Very Strong,19.00 - 25.00%  ,0.00 - 1.00%  
Pink Grapefruit Haze,29.95,8.56 ,3.5,Sativa Dominant,Canntrust,Synr.g,Very Strong,16.00 - 22.00%  ,0.00 - 2.00%  
Social (Mango),29.95,8.56 ,3.5,Sativa Dominant,Fleurish Cannabis,Fleurish,Very Strong,18.00 - 24.00%  ,0.00 - 2.00%  
Green Crush,29.95,8.56 ,3.5,Sativa Dominant,Delshen Therapeutics,48North,Very Strong,18.00 - 25.00%  ,0.00 - 1.00%  
Grapefruit GG1,29.95,8.56 ,3.5,Hybrid,Emerald Health Therapeutics,Emerald,Very Strong,17.00 - 23.00%  ,0.00 - 1.00%  
Chemdog,29.95,8.56 ,3.5,Sativa Dominant,Emerald Health Therapeutics,Emerald,Very Strong,18.00 - 23.00%  ,0.00 - 1.00%  
Blue Gorilla,29.95,8.56 ,3.5,Hybrid,Muskoka Grown Limited,Muskoka Grown,Strong,13.00 - 19.00%  ,0.00 - 1.00%  
Pacific OG,29.95,8.56 ,3.5,Sativa Dominant,Tantalus Labs,Tantalus Labs,Very Strong,22.00 - 28.00%  ,0.00 - 1.00%  
Kalifornia,"39.95, 119.95","11.41 , $8.57 ","3.5, 14",Indica Dominant,Kolab Project,Kolab Project,Very Strong,23.00 - 28.00%  ,0.00 - 1.00%  
White Widow,"32.95, 61.30","9.41 , $8.76 ","3.5, 7",Hybrid,7ACRES,7ACRES,Very Strong,16.00 - 22.00%  ,0.00 - 1.00%  
Jack Haze,"32.95, 61.30","9.41 , $8.76 ","3.5, 7",Sativa Dominant,7ACRES,7ACRES,Very Strong,17.00 - 23.00%  ,0.00 - 1.00%  
Sensi Star,"32.95, 61.30","9.41 , $8.76 ","3.5, 7",Indica Dominant,7ACRES,7ACRES,Very Strong,19.00 - 25.00%  ,0.00 - 2.00%  
DT81,"9.90, 32.95, 61.30","9.90 , $9.41 , $8.76 ","1, 3.5, 7",Sativa Dominant,Aphria,RIFF,Very Strong,18.00 - 24.00%  ,0.00 - 1.00%  
Raider Kush,"9.90, 32.95, 61.30","9.90 , $9.41 , $8.76 ","1, 3.5, 7",Indica Dominant,Aphria,RIFF,Very Strong,17.00 - 25.00%  ,0.00 - 0.99%  
Social (Mango),29.95,8.56 ,3.5,Sativa Dominant,Fleurish Cannabis,Fleurish,Very Strong,18.00 - 24.00%  ,0.00 - 2.00%  
Green Crush,29.95,8.56 ,3.5,Sativa Dominant,Delshen Therapeutics,48North,Very Strong,18.00 - 25.00%  ,0.00 - 1.00%  
Grapefruit GG1,29.95,8.56 ,3.5,Hybrid,Emerald Health Therapeutics,Emerald,Very Strong,17.00 - 23.00%  ,0.00 - 1.00%  
Chemdog,29.95,8.56 ,3.5,Sativa Dominant,Emerald Health Therapeutics,Emerald,Very Strong,18.00 - 23.00%  ,0.00 - 1.00%  
Blue Gorilla,29.95,8.56 ,3.5,Hybrid,Muskoka Grown Limited,Muskoka Grown,Strong,13.00 - 19.00%  ,0.00 - 1.00%  
Pacific OG,29.95,8.56 ,3.5,Sativa Dominant,Tantalus Labs,Tantalus Labs,Very Strong,22.00 - 28.00%  ,0.00 - 1.00%  
Kalifornia,"39.95, 119.95","11.41 , $8.57 ","3.5, 14",Indica Dominant,Kolab Project,Kolab Project,Very Strong,23.00 - 28.00%  ,0.00 - 1.00%  
White Widow,"32.95, 61.30","9.41 , $8.76 ","3.5, 7",Hybrid,7ACRES,7ACRES,Very Strong,16.00 - 22.00%  ,0.00 - 1.00%  
Jack Haze,"32.95, 61.30","9.41 , $8.76 ","3.5, 7",Sativa Dominant,7ACRES,7ACRES,Very Strong,17.00 - 23.00%  ,0.00 - 1.00%  
Sensi Star,"32.95, 61.30","9.41 , $8.76 ","3.5, 7",Indica Dominant,7ACRES,7ACRES,Very Strong,19.00 - 25.00%  ,0.00 - 2.00%  
DT81,"9.90, 32.95, 61.30","9.90 , $9.41 , $8.76 ","1, 3.5, 7",Sativa Dominant,Aphria,RIFF,Very Strong,18.00 - 24.00%  ,0.00 - 1.00%  
Raider Kush,"9.90, 32.95, 61.30","9.90 , $9.41 , $8.76 ","1, 3.5, 7",Indica Dominant,Aphria,RIFF,Very Strong,17.00 - 25.00%  ,0.00 - 0.99%  
Hawaii Heartbreak,"10.10, 33.45, 62.20","10.10 , $9.56 , $8.89 ","1, 3.5, 7",Indica Dominant,Aphria,RIFF,Very Strong,18.00 - 24.00%  ,0.00 - 0.99%  
Muskmelon OG (Saturna),"48.00, 249.95","13.71 , $8.93 ","3.5, 28",Hybrid,Broken Coast Cannabis,Broken Coast,Very Strong,18.00 - 24.00%  ,0.00 - 2.00%  
Stargazer (Sonora),"48.00, 249.95","13.71 , $8.93 ","3.5, 28",Indica Dominant,Broken Coast Cannabis,Broken Coast,Very Strong,18.00 - 24.00%  ,0.00 - 2.00%  
Dark Helmet,31.95,9.13 ,3.5,Hybrid,Trichome JWC Acquisition,WAGNERS,Very Strong,21.00 - 26.00%  ,0.00 - 1.00%  
The Silverback #4,31.95,9.13 ,3.5,Hybrid,Trichome JWC Acquisition,WAGNERS,Very Strong,21.00 - 26.00%  ,0.00 - 1.00%  
Dark Helmet,31.95,9.13 ,3.5,Indica Dominant,Trichome JWC Acquisition,JWC,Very Strong,19.00 - 24.00%  ,0.00 - 1.00%  
BC Black Cherry,"39.95, 129.95","11.41 , $9.28 ","3.5, 14",Indica Dominant,The Flowr Group,Flowr,Very Strong,20.00 - 25.00%  ,0.00 - 1.00%  
8 Ball Kush,"39.95, 129.95","11.41 , $9.28 ","3.5, 14",Indica Dominant,United Greeneries,18twelve,Very Strong,21.00 - 27.00%  ,0.00 - 1.00%  
24k Gold,32.50,9.29 ,3.5,Indica Dominant,Zenabis,Namaste,Very Strong,18.00 - 24.00%  ,0.00 - 0.99%  
Ultra Sour,"9.75, 32.50","9.75 , $9.29 ","1, 3.5",Sativa Dominant,Zenabis,Namaste,Very Strong,17.00 - 23.00%  ,0.00 - 1.00%  
Sunset,"10.50, 34.95, 65.00","10.50 , $9.99 , $9.29 ","1, 3.5, 7",Indica Dominant,Canopy Growth,LBS,Very Strong,20.00 - 26.00%  ,0.00 - 0.50%  
Pink Vanilla OG,32.95,9.41 ,3.5,Indica Dominant,Muskoka Grown Limited,Muskoka Grown,Very Strong,20.00 - 24.00%  ,0.00 - 5.00%  
Papaya,32.95,9.41 ,3.5,Indica Dominant,7ACRES,7ACRES,Very Strong,19.00 - 25.00%  ,0.00 - 1.00%  
Gilded Grams,32.95,9.41 ,3.5,Sativa Dominant,Aphria,RIFF,Very Strong,19.00 - 25.00%  ,0.00 - 2.00%  
Fruit Pie,32.95,9.41 ,3.5,Indica Dominant,Muskoka Grown Limited,Muskoka Grown,Very Strong,20.00 - 24.00%  ,0.00 - 5.00%  
Jean Guy,"32.95, 61.30","9.41 , $8.76 ","3.5, 7",Hybrid,7ACRES,7ACRES,Very Strong,15.00 - 20.00%  ,0.00 - 1.00%  
Garlic Cookies,32.95,9.41 ,3.5,Indica Dominant,SESS Holdings,CALI,Very Strong,21.00 - 27.00%  ,0.00 - 2.00%  
Wappa 49,32.95,9.41 ,3.5,Indica Dominant,7ACRES,7ACRES,Very Strong,18.00 - 24.00%  ,0.00 - 1.00%  
RC Royal Goddess,32.95,9.41 ,3.5,Indica Dominant,CannTx Life Sciences,Royal City Cannabis Co.,Very Strong,17.00 - 23.00%  ,0.00 - 1.00%  
RC Orange Hill Special,32.95,9.41 ,3.5,Sativa Dominant,CannTx Life Sciences,Royal City Cannabis Co.,Very Strong,14.00 - 20.00%  ,0.00 - 1.00%  
Glueberry OG,32.95,9.41 ,3.5,Hybrid,Muskoka Grown Limited,Muskoka Grown,Very Strong,18.00 - 24.50%  ,0.00%  
Grandpa's Stash,66.50,9.50 ,7,Indica Dominant,Delshen Therapeutics,Thumbs Up Brand,Very Strong,18.00 - 24.00%  ,0.00 - 2.00%  
Raspberry Cough,33.95,9.70 ,3.5,Sativa Dominant,Canveda,Strain Rec,Strong,13.00 - 19.00%  ,0.00 - 1.00%  
Where's My Bike,33.95,9.70 ,3.5,Hybrid,Delshen Therapeutics,48North,Very Strong,19.00 - 23.00%  ,0.00 - 2.00%  
No. 428 Secret Address,33.95,9.70 ,3.5,Hybrid,Terrascend Canada,Haven St. Premium Cannabis,Very Strong,22.00 - 27.00%  ,0.00 - 1.00%  
Solar Power,"10.25, 34.10","10.25 , $9.74 ","1, 3.5",Hybrid,Emblem Cannabis,Symbl,Very Strong,19.00 - 25.00%  ,0.00 - 1.00%  
No. 417 Indigo Daze,"10.25, 34.15","10.25 , $9.76 ","1, 3.5",Indica Dominant,Terrascend Canada,Haven St. Premium Cannabis,Very Strong,21.00 - 28.00%  ,0.00 - 0.50%  
Sativa,"36.95, 68.75","10.56 , $9.82 ","3.5, 7",Sativa Dominant,Canopy Growth,Houseplant,Very Strong,18.00 - 24.00%  ,0.00 - 0.50%  
Watermelon Zktlz,"36.95, 68.95","10.56 , $9.85 ","3.5, 7",Hybrid,Alberta Craft Cannabis,Tenzo,Very Strong,17.00 - 23.00%  ,0.00 - 1.00%  
Wedding Crasher,"36.95, 68.95","10.56 , $9.85 ","3.5, 7",Indica Dominant,Alberta Craft Cannabis,Tenzo,Very Strong,18.00 - 25.00%  ,0.00 - 2.00%  
Amnesia x Super Haze,34.50,9.86 ,3.5,Sativa Dominant,Mera Cannabis,Thumbs Up Brand,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Dartmouth Kush,34.95,9.99 ,3.5,Hybrid,Breathing Green Solutions,SKOSHA,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Sour Kush,34.95,9.99 ,3.5,Indica Dominant,Canopy Growth,Doja,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Sour Kush,34.95,9.99 ,3.5,Hybrid,Emblem Cannabis,Nith & Grand,Very Strong,19.00 - 25.00%  ,0.00 - 1.00%  
Exotic Gas,34.95,9.99 ,3.5,Hybrid,Canadian Clinical Cannabinoids,The Loud Plug,Very Strong,20.00 - 28.00%  ,0.00 - 1.00%  
MAC-1,34.95,9.99 ,3.5,Hybrid,Organigram,Edison Cannabis Co,Very Strong,20.00 - 26.00%  ,0.00 - 0.15%  
No. 428 Secret Address,33.95,9.70 ,3.5,Hybrid,Terrascend Canada,Haven St. Premium Cannabis,Very Strong,22.00 - 27.00%  ,0.00 - 1.00%  
Solar Power,"10.25, 34.10","10.25 , $9.74 ","1, 3.5",Hybrid,Emblem Cannabis,Symbl,Very Strong,19.00 - 25.00%  ,0.00 - 1.00%  
No. 417 Indigo Daze,"10.25, 34.15","10.25 , $9.76 ","1, 3.5",Indica Dominant,Terrascend Canada,Haven St. Premium Cannabis,Very Strong,21.00 - 28.00%  ,0.00 - 0.50%  
Sativa,"36.95, 68.75","10.56 , $9.82 ","3.5, 7",Sativa Dominant,Canopy Growth,Houseplant,Very Strong,18.00 - 24.00%  ,0.00 - 0.50%  
Watermelon Zktlz,"36.95, 68.95","10.56 , $9.85 ","3.5, 7",Hybrid,Alberta Craft Cannabis,Tenzo,Very Strong,17.00 - 23.00%  ,0.00 - 1.00%  
Wedding Crasher,"36.95, 68.95","10.56 , $9.85 ","3.5, 7",Indica Dominant,Alberta Craft Cannabis,Tenzo,Very Strong,18.00 - 25.00%  ,0.00 - 2.00%  
Amnesia x Super Haze,34.50,9.86 ,3.5,Sativa Dominant,Mera Cannabis,Thumbs Up Brand,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Dartmouth Kush,34.95,9.99 ,3.5,Hybrid,Breathing Green Solutions,SKOSHA,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Sour Kush,34.95,9.99 ,3.5,Indica Dominant,Canopy Growth,Doja,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Sour Kush,34.95,9.99 ,3.5,Hybrid,Emblem Cannabis,Nith & Grand,Very Strong,19.00 - 25.00%  ,0.00 - 1.00%  
Exotic Gas,34.95,9.99 ,3.5,Hybrid,Canadian Clinical Cannabinoids,The Loud Plug,Very Strong,20.00 - 28.00%  ,0.00 - 1.00%  
MAC-1,34.95,9.99 ,3.5,Hybrid,Organigram,Edison Cannabis Co,Very Strong,20.00 - 26.00%  ,0.00 - 0.15%  
Gorilla Berry,34.95,9.99 ,3.5,Indica Dominant,GreenSeal Cannabis Company,GreenSeal,Very Strong,22.00 - 28.00%  ,0.00 - 1.00%  
GSC Kush,34.95,9.99 ,3.5,Indica Dominant,Will Cannabis,Flint & Embers,Very Strong,22.00 - 28.00%  ,0.00 - 1.00%  
TANGERINE COOKIES,34.95,9.99 ,3.5,Sativa Dominant,Galaxie Brands Corporation,WINK,Very Strong,20.00 - 26.00%  ,0.00 - 2.00%  
Nut Butter,34.95,9.99 ,3.5,Indica Dominant,BZAM Cannabis,BZAM,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
GMO Cookies,34.95,9.99 ,3.5,Indica Dominant,Organigram,Edison Cannabis Co,Very Strong,20.00 - 26.00%  ,0.00 - 0.15%  
Mother of Berries,34.95,9.99 ,3.5,Indica Dominant,Safariflower,Greenman Acres,Very Strong,18.00 - 24.00%  ,0.00 - 2.00%  
HPG13,34.95,9.99 ,3.5,Indica Dominant,Mernova Medicinal,Ritual Green,Very Strong,19.50 - 27.00%  ,0.00 - 1.00%  
Doja C99,34.95,9.99 ,3.5,Sativa Dominant,Canopy Growth,DOJA,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Pyramid,34.95,9.99 ,3.5,Indica Dominant,JC Green Cannabis,Jonny Chronic,Very Strong,20.00 - 24.00%  ,0.00 - 1.00%  
Marley Gold,34.95,9.99 ,3.5,Sativa Dominant,High Park,Marley Natural,Very Strong,20.50 - 26.50%  ,0.00 - 1.00%  
I.C.C.,34.95,9.99 ,3.5,Indica Dominant,Organigram,Edison Cannabis Co,Very Strong,20.00 - 26.00%  ,0.00 - 0.15%  
Organic LA Confidential,34.95,9.99 ,3.5,Indica Dominant,The Green Organic Dutchman,The Green Organic Dutchman,Very Strong,20.00 - 26.00%  ,0.00 - 2.00%  
Organic Fire,34.95,9.99 ,3.5,Indica Dominant,The Green Organic Dutchman,The Green Organic Dutchman,Very Strong,20.00 - 26.00%  ,0.00 - 2.00%  
Organic Rockstar Tuna,34.95,9.99 ,3.5,Indica Dominant,The Green Organic Dutchman,The Green Organic Dutchman,Very Strong,20.00 - 26.00%  ,0.00 - 2.00%  
Rally (Island Sweet Skunk),34.95,9.99 ,3.5,Sativa Dominant,Fleurish Cannabis,Fleurish,Very Strong,21.00 - 27.00%  ,0.00 - 2.00%  
Marley Green,34.95,9.99 ,3.5,Sativa Dominant,High Park,MARLEY NATURAL,Very Strong,19.00 - 27.00%  ,0.00 - 1.00%  
Sensi Star,34.95,9.99 ,3.5,Hybrid,ABcann Medicinals,Fireside,Very Strong,17.00 - 22.00%  ,0.00 - 1.00%  
Blue Dream,34.95,9.99 ,3.5,Sativa Dominant,Canna Farms,Canna Farms,Very Strong,19.50 - 25.50%  ,0.00 - 1.00%  
Tangerine Dream,34.95,9.99 ,3.5,Hybrid,Canna Farms,Canna Farms,Medium,10.00 - 16.00%  ,0.00 - 1.00%  
Wappa,"10.50, 34.95","10.50 , $9.99 ","1, 3.5",Hybrid,ABcann Medicinals,Fireside,Very Strong,19.00 - 25.00%  ,0.00 - 1.00%  
Garlic Z,35.75,10.21 ,3.5,Indica Dominant,Delshen Therapeutics,Thumbs Up Brand,Very Strong,20.00 - 26.00%  ,0.00 - 2.00%  
Reflect Reserve,"35.95, 66.90","10.27 , $9.56 ","3.5, 7",Hybrid,Peace Naturals Project,COVE,Very Strong,19.50 - 25.50%  ,0.00 - 1.00%  
Rest Reserve,35.95,10.27 ,3.5,Indica Dominant,Peace Naturals Project,COVE,Very Strong,19.00 - 25.00%  ,0.00 - 1.00%  
GSC Kush,34.95,9.99 ,3.5,Indica Dominant,Will Cannabis,Flint & Embers,Very Strong,22.00 - 28.00%  ,0.00 - 1.00%  
Chocolate Fondue,"10.80, 35.95, 66.85","10.80 , $10.27 , $9.55 ","1, 3.5, 7",Sativa Dominant,Canopy Growth,DNA Genetics,Very Strong,18.00 - 24.00%  ,0.00 - 0.50%  
Macslurry,36.95,10.56 ,3.5,Indica Dominant,BZAM Cannabis,Snackbar,Very Strong,21.00 - 27.00%  ,0.00 - 1.00%  
Pink Cookies x Kush Mints,36.95,10.56 ,3.5,Indica Dominant,Galaxie Brands Corporation,Thumbs Up Brand,Very Strong,20.00 - 26.00%  ,0.00 - 2.00%  
PURPLE PUG,36.95,10.56 ,3.5,Indica Dominant,Mediwanna,ELIOS RESERVE,Strong,14.00 - 17.00%  ,0.00 - 1.00%  
Apex,36.95,10.56 ,3.5,Sativa Dominant,Atlanticann Medical,Msiku,Very Strong,19.00 - 25.00%  ,0.00 - 2.00%  
Orangeade,36.95,10.56 ,3.5,Sativa Dominant,Alberta Craft Cannabis,TENZO,Very Strong,17.00 - 23.00%  ,0.00 - 1.00%  
Stonewall,36.95,10.56 ,3.5,Sativa Dominant,Experion Biotechnologies,Citizen Stash,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
No. 516 Sonic Express,36.95,10.56 ,3.5,Hybrid,Terrascend Canada,Haven St. Premium Cannabis,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
No. 425 Midnight Jam,36.95,10.56 ,3.5,Hybrid,Terrascend Canada,Haven St. Premium Cannabis,Very Strong,20.00 - 27.00%  ,0.00 - 1.00%  
LA Kush Cake,36.95,10.56 ,3.5,Hybrid,Tantalus Labs,Tantalus Labs,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Sunset Sherbet,36.95,10.56 ,3.5,Indica Dominant,Experion Biotechnologies,Citizen Stash,Very Strong,20.50 - 26.50%  ,0.00 - 1.00%  
Peggy's Pride,36.95,10.56 ,3.5,Sativa Dominant,Atlanticann Medical,Msiku,Very Strong,19.00 - 24.00%  ,0.00 - 1.00%  
Indica,"36.95, 68.75","10.56 , $9.82 ","3.5, 7",Indica Dominant,Canopy Growth,Houseplant,Very Strong,20.00 - 28.00%  ,0.00 - 1.00%  
No. 515 Noisy Neighbour,36.95,10.56 ,3.5,Sativa Dominant,Terrascend Canada,Haven St. Premium Cannabis,Very Strong,20.00 - 27.50%  ,0.00 - 1.00%  
BC Pink Kush,"39.95, 73.95","11.41 , $10.56 ","3.5, 7",Indica Dominant,The Flowr Group,Flowr,Very Strong,20.00 - 25.00%  ,0.00 - 1.00%  
Organic Sugar Bush,37.95,10.84 ,3.5,Sativa Dominant,The Green Organic Dutchman,The Green Organic Dutchman,Very Strong,20.00 - 25.00%  ,0.00 - 2.00%  
French Macaron,38.50,11.00 ,3.5,Indica Dominant,JC Green Cannabis,Jonny Chronic,Very Strong,15.00 - 24.00%  ,0.00 - 1.00%  
Big Dip Indica - Limited Edition,39.95,11.41 ,3.5,Indica Dominant,Galaxie Brands Corporation,Cruuzy,Very Strong,20.00 - 26.00%  ,0.00 - 1.99%  
Driftwood Diesel,39.95,11.41 ,3.5,Indica Dominant,Aurora Cannabis,San Rafael '71,Very Strong,21.00 - 27.00%  ,0.00 - 10.00%  
Lemon Rocket,39.95,11.41 ,3.5,Hybrid,Aurora Cannabis,San Rafael '71,Very Strong,20.00 - 26.00%  ,0.00 - 10.00%  
Stonefruit Sunset,39.95,11.41 ,3.5,Hybrid,Aurora Cannabis,San Rafael '71,Very Strong,19.00 - 25.00%  ,0.00 - 10.00%  
Krypto Chronic #2,39.95,11.41 ,3.5,Hybrid,Sugarbud,Sugarbud,Very Strong,20.00 - 26.00%  ,0.00 - 5.00%  
Mule Fuel,39.95,11.41 ,3.5,Hybrid,Sugarbud,Sugarbud,Very Strong,20.00 - 26.00%  ,0.00 - 5.00%  
B Banner,39.95,11.41 ,3.5,Hybrid,Bold Growth,BOLD Growth,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Sky Cuddler Double Kush,39.95,11.41 ,3.5,Indica Dominant,Aqualitas,Reef Organic,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Growers Stash #002 - Crystal Kush,39.95,11.41 ,3.5,Hybrid,Aurora Cannabis,San Rafael '71,Very Strong,21.00 - 27.00%  ,0.00 - 10.00%  
The Vision,39.95,11.41 ,3.5,Hybrid,Bold Growth,BOLD Growth,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Mendo Breath,39.95,11.41 ,3.5,Sativa Dominant,Northern Green Canada,Coterie,Very Strong,21.00 - 27.00%  ,0.00 - 1.00%  
Crescendo,39.95,11.41 ,3.5,Indica Dominant,Atlas Growers,Natural History,Very Strong,20.00 - 25.00%  ,0.00 - 2.00%  
Zour Apples,39.95,11.41 ,3.5,Sativa Dominant,Atlas Growers,Natural History,Very Strong,18.00 - 24.00%  ,0.00 - 2.00%  
PreNup,39.95,11.41 ,3.5,Sativa Dominant,Sugarbud,Sugarbud,Very Strong,18.00 - 24.00%  ,0.00 - 5.00%  
Freshly Baked #76,39.95,11.41 ,3.5,Sativa Dominant,OGEN,OGEN,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Coastal Kush,39.95,11.41 ,3.5,Indica Dominant,Aqualitas,Reef Organic,Very Strong,21.50 - 27.50%  ,0.00 - 1.00%  
Organnicraft Cherry Punch,39.95,11.41 ,3.5,Hybrid,Agro-Greens Natural Products,Organnicraft,Very Strong,22.00 - 27.00%  ,0.00 - 1.99%  
Wedding Cake,39.95,11.41 ,3.5,Indica Dominant,Weed Me,Weed Me,Very Strong,20.00 - 26.00%  ,0.00 - 2.00%  
Ice Cream Cake,39.95,11.41 ,3.5,Indica Dominant,Weed Me,Weed Me,Very Strong,20.00 - 25.00%  ,0.00 - 2.00%  
Sky Cuddler Double Kush,39.95,11.41 ,3.5,Indica Dominant,Aqualitas,Reef Organic,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Growers Stash #002 - Crystal Kush,39.95,11.41 ,3.5,Hybrid,Aurora Cannabis,San Rafael '71,Very Strong,21.00 - 27.00%  ,0.00 - 10.00%  
The Vision,39.95,11.41 ,3.5,Hybrid,Bold Growth,BOLD Growth,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Mendo Breath,39.95,11.41 ,3.5,Sativa Dominant,Northern Green Canada,Coterie,Very Strong,21.00 - 27.00%  ,0.00 - 1.00%  
Crescendo,39.95,11.41 ,3.5,Indica Dominant,Atlas Growers,Natural History,Very Strong,20.00 - 25.00%  ,0.00 - 2.00%  
Zour Apples,39.95,11.41 ,3.5,Sativa Dominant,Atlas Growers,Natural History,Very Strong,18.00 - 24.00%  ,0.00 - 2.00%  
PreNup,39.95,11.41 ,3.5,Sativa Dominant,Sugarbud,Sugarbud,Very Strong,18.00 - 24.00%  ,0.00 - 5.00%  
Freshly Baked #76,39.95,11.41 ,3.5,Sativa Dominant,OGEN,OGEN,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Coastal Kush,39.95,11.41 ,3.5,Indica Dominant,Aqualitas,Reef Organic,Very Strong,21.50 - 27.50%  ,0.00 - 1.00%  
Organnicraft Cherry Punch,39.95,11.41 ,3.5,Hybrid,Agro-Greens Natural Products,Organnicraft,Very Strong,22.00 - 27.00%  ,0.00 - 1.99%  
Wedding Cake,39.95,11.41 ,3.5,Indica Dominant,Weed Me,Weed Me,Very Strong,20.00 - 26.00%  ,0.00 - 2.00%  
Ice Cream Cake,39.95,11.41 ,3.5,Indica Dominant,Weed Me,Weed Me,Very Strong,20.00 - 25.00%  ,0.00 - 2.00%  
Dank Rainbow,39.95,11.41 ,3.5,Indica Dominant,Boaz Pharmaceuticals,BOAZ,Very Strong,18.50 - 25.00%  ,0.00 - 1.00%  
Mandarin Cookie,39.95,11.41 ,3.5,Sativa Dominant,Weed Me,Weed Me,Very Strong,21.00 - 26.00%  ,0.00 - 2.00%  
Lemon Z,"39.95, 224.95","11.41 , $8.03 ","3.5, 28",Sativa Dominant,OGEN,OGEN,Very Strong,19.00 - 25.00%  ,0.00 - 2.00%  
Early Glue RBx1 #15,"39.95, 224.95","11.41 , $8.03 ","3.5, 28",Indica Dominant,OGEN,OGEN,Very Strong,18.00 - 24.50%  ,0.00 - 2.00%  
Mirage Plus,39.95,11.41 ,3.5,Indica Dominant,Breathing Green Solutions,SKOSHA,Very Strong,20.00 - 28.00%  ,0.00 - 1.00%  
Nova Glue,39.95,11.41 ,3.5,Hybrid,Atlanticann Medical,Msiku,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Gelatti,39.95,11.41 ,3.5,Indica Dominant,Atlanticann Medical,Msiku,Very Strong,20.00 - 25.00%  ,0.00 - 1.00%  
